prediction,x,y
0.14989124295708028,95,64
0.3661464708307295,93,54
0.14530906922931677,92,37
0.11863526922190197,86,41
0.16266182195658574,94,37
0.08350984120827609,93,68
0.3157129077859056,96,58
0.034803939714463314,77,60
0.042712641806911186,88,29
0.031755895695598085,76,41
0.013822540418995492,80,25
0.07004356088974423,92,31
0.057268066019803256,79,50
0.030360061458522547,76,40
0.03800532032189534,77,42
0.12160328353499783,93,35
0.49124324977552647,96,46
0.042796004363508326,90,72
0.04148346912098925,77,55
0.20447606692887077,88,48
0.05477357787189762,97,28
0.020891693283170053,74,62
0.009286008666118423,75,26
0.01709852983479004,71,56
0.11241221950441566,90,64
0.03937154407099757,77,57
0.02762789715738374,74,49
0.015390349756314316,70,50
0.07023052040135001,87,66
0.03963548136571691,91,73
0.0185976726821222,74,36
0.08310298463211362,89,66
0.018457656191145415,77,69
0.042796004363508326,90,28
0.04796844822871939,79,41
0.018471582069175728,75,66
0.23592319979244228,89,49
0.10050443224662368,90,65
0.0429680964259059,83,33
0.015381577269526056,77,29
0.2056441990240113,88,49
0.27115920356351214,90,50
0.12111348573464051,91,36
0.03407073475598776,94,75
0.02760748299193319,74,52
0.023670696154402118,77,34
0.023869675921642002,73,51
0.29988178665797305,91,53
0.01776075694799489,71,47
0.01907390814077346,79,71
0.1381238091417768,88,60
0.0346828259379989,81,33
0.1690863240999485,90,40
0.016437905036590036,76,31
0.17636701562126994,87,47
0.03417067038886109,76,43
0.031983012301284974,75,50
0.13377710954778843,85,53
0.03156117171813163,75,54
0.025729688393914533,76,37
0.17464629798778503,96,37
0.15448622501805778,93,63
0.008177098045740513,73,73
0.15329743793910103,89,60
0.020620999519058894,72,51
0.037746764679656014,78,39
0.05648348617557569,93,71
0.10446850174179387,87,38
0.12529481049319507,90,37
0.03699839511599709,76,49
0.02012391362194069,77,68
0.006014916879299342,69,29
0.02729091489540279,74,54
0.15371402818724483,86,47
0.05635000244077273,87,68
0.013434881769270718,72,35
0.1609151814304435,88,58
0.016279514660577376,74,66
0.013191484205635956,71,37
0.02227161434177032,73,43
0.023271201753693304,73,55
0.01229152387406316,75,71
0.6915896273840225,97,49
0.041367211316563665,81,65
0.11863526922190197,86,59
0.1802451693892423,89,58
0.014274426738656695,72,64
0.028694758602186288,75,42
0.024910662326937567,74,58
0.0066390559963078015,66,63
0.021992644128360245,74,61
0.05635000244077273,87,32
0.07162805185664764,82,41
0.05525173335962032,79,55
0.048518015524977205,81,63
0.010595681875101138,73,30
0.037746764679656014,78,39
0.06575400439722622,80,47
0.21604319514155593,89,55
0.2056441990240113,88,51
0.2221187156619037,92,59
0.019754779047943007,74,63
0.00939169262435842,72,70
0.0318484088492192,75,47
0.12529481049319507,90,63
0.01597268108451067,83,24
0.0981236489481772,85,60
0.027634744569651707,74,50
0.01015732697910831,72,69
0.03303469769183474,76,42
0.07822657733835112,86,36
0.18486976955388923,90,41
0.32631898234363144,92,54
0.06636649941999048,91,69
0.003025076701705529,71,19
0.03519159982680524,87,28
0.030139237957226554,85,28
0.028890623746695612,78,65
0.038899530217526075,83,32
0.0064949605299345235,71,27
0.012405623409415008,73,68
0.11440042469412894,84,54
0.09392505357181742,86,38
0.12378852589120114,87,60
0.3060907094060499,91,52
0.34029845278736454,92,47
0.010529428206389696,69,38
0.01515729092950361,71,60
0.02161505007744782,73,42
0.012529838337822608,69,43
0.023869675921642002,73,51
0.09109285431320144,85,61
0.1609151814304435,88,42
0.02227161434177032,73,43
0.03971291513743648,87,29
0.3094647654125513,91,49
0.06332081467342253,84,64
0.01479426163215917,70,44
0.09294065422257806,89,65
0.025698146078997484,74,57
0.01095508487335066,74,71
0.02105821489024618,81,28
0.009310135320817254,77,76
0.07004356088974423,92,31
0.07133999697210626,81,44
0.10502682211320144,85,41
0.07339482363428555,81,55
0.017277114762477307,84,76
0.2661078021357947,92,57
0.10050443224662368,90,35
0.1381238091417768,88,60
0.13543398715034177,85,50
0.0171438928814443,75,33
0.0318484088492192,75,47
0.025378992511107215,83,72
0.02227161434177032,73,43
0.23592319979244228,89,51
0.025698146078997484,74,43
0.2342792957271133,89,52
0.018471582069175728,75,66
0.02405985315387068,89,76
0.015104946070345397,72,37
0.07952875467859508,92,68
0.015104946070345397,72,37
0.3431088835201566,93,45
0.19027100061824642,88,55
0.1802451693892423,89,42
0.018861068839395936,78,70
0.042796004363508326,90,72
0.1496099936979294,88,41
0.04862520824988201,90,29
0.018861068839395936,78,70
0.08310298463211362,89,66
0.038665982489521356,82,33
0.019295607617910614,72,43
0.02012391362194069,77,32
0.035139424731337694,76,56
0.05386414231176328,79,56
0.027670091874185388,79,33
0.08197139269026141,82,56
0.011764931338015587,72,33
0.12178775192942264,97,66
0.02762789715738374,74,49
0.013434881769270718,72,35
0.06587483293779393,89,68
0.7272814671821497,98,48
0.08310298463211362,89,66
0.01728197770648042,73,37
0.014010104541228972,79,26
0.05434330610036921,88,31
0.02579954693083988,82,71
0.15571368730901153,86,51
0.0766142133815442,88,34
0.1609151814304435,88,42
0.2567200410120954,94,59
0.13723790074407838,93,64
0.20078177546659529,90,42
0.04290125963369335,80,37
0.05434330610036921,88,31
0.015049969061182068,70,45
